
Time, Event 
Time, Event 



4/19/2021 6:56:22 PM,Glanceable Session Started


4/19/2021 6:56:22 PM,Glanceable Session Started
Time, Event 



4/19/2021 6:56:39 PM,Glanceable Session Started


4/19/2021 6:56:39 PM,Glanceable Session Started
Time, Event 



4/19/2021 6:57:33 PM,Glanceable Session Started


4/19/2021 6:57:33 PM,Glanceable Session Started
4/19/2021 6:57:39 PM, Manually made Translucent


4/19/2021 6:57:56 PM,ACI Session Started


4/19/2021 6:58:01 PM,Glanceable Session Started
4/19/2021 6:58:07 PM, Manually made Translucent


4/19/2021 6:58:38 PM,ACI Session Started
4/19/2021 6:58:54 PM, Manually made Opaque
Time, Event 



4/19/2021 7:08:53 PM,ACI Session Started


4/19/2021 7:08:53 PM,ACI Session Started
Time, Event 



4/19/2021 7:09:12 PM,ACI Session Started


4/19/2021 7:09:12 PM,ACI Session Started
Time, Event 



4/19/2021 7:12:08 PM,ACI Session Started


4/19/2021 7:12:08 PM,ACI Session Started


4/19/2021 7:12:19 PM,Glanceable Session Started
4/19/2021 7:12:24 PM, Manually made Translucent


4/19/2021 7:12:30 PM,ACI Session Started
Time, Event 



4/23/2021 5:29:40 PM,Glanceable Session Started
4/23/2021 5:29:40 PM, is not blocking a face


4/23/2021 5:29:40 PM,Glanceable Session Started
4/23/2021 5:29:40 PM, is not blocking a face
Time, Event 



4/23/2021 5:30:02 PM,Glanceable Session Started
4/23/2021 5:30:02 PM, is not blocking a face


4/23/2021 5:30:02 PM,Glanceable Session Started
4/23/2021 5:30:02 PM, is not blocking a face
4/23/2021 5:30:40 PM, Manually made Translucent
4/23/2021 5:30:41 PM, Manually made Opaque


4/23/2021 5:30:50 PM,ACI Session Started
4/23/2021 5:30:50 PM, is not blocking a face
Time, Event 



4/24/2021 3:45:24 PM,Glanceable Session Started
4/24/2021 3:45:24 PM, is not blocking a face


4/24/2021 3:45:24 PM,Glanceable Session Started
4/24/2021 3:45:24 PM, is not blocking a face
4/24/2021 3:45:39 PM, Manually made Translucent
4/24/2021 3:45:40 PM, Manually made Opaque


4/24/2021 3:45:46 PM,ACI Session Started
4/24/2021 3:45:46 PM, is not blocking a face
4/24/2021 3:45:51 PM, Manually made Opaque
4/24/2021 3:45:51 PM, Manually made Translucent
4/24/2021 6:55:23 PM -04:00, Glanceable Session Started
4/24/2021 6:55:23 PM -04:00, Manual override time out
4/24/2021 6:55:23 PM -04:00, Not mentioned
